,winner,home_agf,home_agc,home_aagf,home_aagc,h_pts,away_agf,away_agc,away_aagf,away_aagc,apts,home_team_id,away_team_id
0,1,1.565217391304348,1.108695652173913,1.2727272727272727,1.5909090909090908,124,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,1,23
1,0,1.565217391304348,1.108695652173913,1.2727272727272727,1.5909090909090908,124,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,1,23
2,0,1.565217391304348,1.108695652173913,1.2727272727272727,1.5909090909090908,124,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,1,23
3,1,1.6888888888888889,0.9333333333333333,1.2222222222222223,1.6666666666666667,157,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,2,23
4,1,1.6888888888888889,0.9333333333333333,1.2222222222222223,1.6666666666666667,157,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,2,23
5,0,1.037037037037037,1.6666666666666667,0.84,1.6,42,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,3,23
6,0,1.5217391304347827,1.173913043478261,1.5681818181818181,1.0909090909090908,137,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,4,23
7,0,1.5217391304347827,1.173913043478261,1.5681818181818181,1.0909090909090908,137,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,4,23
8,2,1.5217391304347827,1.173913043478261,1.5681818181818181,1.0909090909090908,137,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,4,23
9,1,1.0666666666666667,1.3555555555555556,0.9777777777777777,1.8222222222222222,92,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,5,23
10,1,1.0666666666666667,1.3555555555555556,0.9777777777777777,1.8222222222222222,92,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,5,23
11,0,1.0666666666666667,1.3555555555555556,0.9777777777777777,1.8222222222222222,92,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,5,23
12,0,1.5,1.3157894736842106,1.4736842105263157,2.026315789473684,86,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,6,23
13,0,1.5,1.3157894736842106,1.4736842105263157,2.026315789473684,86,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,6,23
14,0,0.8947368421052632,2.4210526315789473,0.8947368421052632,1.631578947368421,23,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,7,23
15,0,0.631578947368421,2.263157894736842,0.5789473684210527,2.1578947368421053,22,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,8,23
16,1,1.7608695652173914,0.9782608695652174,1.4318181818181819,1.4545454545454546,146,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,9,23
17,0,1.7608695652173914,0.9782608695652174,1.4318181818181819,1.4545454545454546,146,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,9,23
18,1,1.7608695652173914,0.9782608695652174,1.4318181818181819,1.4545454545454546,146,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,9,23
19,1,1.9318181818181819,1.1818181818181819,1.7826086956521738,1.5434782608695652,158,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,10,23
20,0,1.9318181818181819,1.1818181818181819,1.7826086956521738,1.5434782608695652,158,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,10,23
21,1,2.577777777777778,0.6888888888888889,1.8888888888888888,1.2444444444444445,190,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,11,23
22,2,2.577777777777778,0.6888888888888889,1.8888888888888888,1.2444444444444445,190,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,11,23
23,0,1.9318181818181819,1.25,1.108695652173913,1.4130434782608696,135,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,12,23
24,0,1.9318181818181819,1.25,1.108695652173913,1.4130434782608696,135,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,12,23
25,1,1.2272727272727273,1.0909090909090908,1.0869565217391304,1.434782608695652,109,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,13,23
26,0,1.2272727272727273,1.0909090909090908,1.0869565217391304,1.434782608695652,109,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,13,23
27,0,1.2272727272727273,1.0909090909090908,1.0869565217391304,1.434782608695652,109,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,13,23
28,0,1.1842105263157894,1.9736842105263157,1.1842105263157894,2.1578947368421053,69,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,14,23
29,0,1.1842105263157894,1.9736842105263157,1.1842105263157894,2.1578947368421053,69,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,14,23
30,1,3.066666666666667,0.8666666666666667,2.022222222222222,0.8,212,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,15,23
31,1,3.066666666666667,0.8666666666666667,2.022222222222222,0.8,212,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,15,23
32,2,1.5777777777777777,1.2,1.6222222222222222,1.5333333333333334,135,2.347826086956522,1.0869565217391304,1.5909090909090908,1.1818181818181819,186,16,23
