,date,home_team,score,away_team,stats,half_time,2.5+,total_goals,btts
0,,,,,,,,,
1,Fr 13 Aug,Brentford,2 - 0,Arsenal,stats,(1-0),-,2,-
2,,,,,,,,,
3,Sa 14 Aug,Manchester Utd,5 - 1,Leeds Utd,stats,(1-0),+,6,+
4,Sa 14 Aug,Burnley,1 - 2,Brighton,stats,(1-0),+,3,+
5,Sa 14 Aug,Chelsea,3 - 0,Crystal Palace,stats,(2-0),+,3,-
6,Sa 14 Aug,Everton,3 - 1,Southampton,stats,(0-1),+,4,+
7,Sa 14 Aug,Leicester City,1 - 0,Wolverhampton,stats,(1-0),-,1,-
8,Sa 14 Aug,Watford,3 - 2,Aston Villa,stats,(2-0),+,5,+
9,Sa 14 Aug,Norwich City,0 - 3,Liverpool,stats,(0-1),+,3,-
10,,,,,,,,,
11,Su 15 Aug,Newcastle Utd,2 - 4,West Ham Utd,stats,(2-1),+,6,+
12,Su 15 Aug,Tottenham,1 - 0,Manchester City,stats,(0-0),-,1,-
13,,,,,,,,,
14,Sa 21 Aug,Liverpool,2 - 0,Burnley,stats,(1-0),-,2,-
15,Sa 21 Aug,Aston Villa,2 - 0,Newcastle Utd,stats,(1-0),-,2,-
16,Sa 21 Aug,Crystal Palace,0 - 0,Brentford,stats,(0-0),-,0,-
17,Sa 21 Aug,Leeds Utd,2 - 2,Everton,stats,(1-1),+,4,+
18,Sa 21 Aug,Manchester City,5 - 0,Norwich City,stats,(2-0),+,5,-
19,Sa 21 Aug,Brighton,2 - 0,Watford,stats,(2-0),-,2,-
20,,,,,,,,,
21,Su 22 Aug,Southampton,1 - 1,Manchester Utd,stats,(1-0),-,2,+
22,Su 22 Aug,Wolverhampton,0 - 1,Tottenham,stats,(0-1),-,1,-
23,Su 22 Aug,Arsenal,0 - 2,Chelsea,stats,(0-2),-,2,-
24,,,,,,,,,
25,Mo 23 Aug,West Ham Utd,4 - 1,Leicester City,stats,(1-0),+,5,+
26,,,,,,,,,
27,Sa 28 Aug,Manchester City,5 - 0,Arsenal,stats,(3-0),+,5,-
28,Sa 28 Aug,Aston Villa,1 - 1,Brentford,stats,(1-1),-,2,+
29,Sa 28 Aug,Brighton,0 - 2,Everton,stats,(0-1),-,2,-
30,Sa 28 Aug,Newcastle Utd,2 - 2,Southampton,stats,(0-0),+,4,+
31,Sa 28 Aug,Norwich City,1 - 2,Leicester City,stats,(1-1),+,3,+
32,Sa 28 Aug,West Ham Utd,2 - 2,Crystal Palace,stats,(1-0),+,4,+
33,Sa 28 Aug,Liverpool,1 - 1,Chelsea,stats,(1-1),-,2,+
34,,,,,,,,,
35,Su 29 Aug,Burnley,1 - 1,Leeds Utd,stats,(0-0),-,2,+
36,Su 29 Aug,Tottenham,1 - 0,Watford,stats,(1-0),-,1,-
37,Su 29 Aug,Wolverhampton,0 - 1,Manchester Utd,stats,(0-0),-,1,-
38,,,,,,,,,
39,Sa 11 Sep,Crystal Palace,3 - 0,Tottenham,stats,(0-0),+,3,-
40,Sa 11 Sep,Arsenal,1 - 0,Norwich City,stats,(0-0),-,1,-
41,Sa 11 Sep,Brentford,0 - 1,Brighton,stats,(0-0),-,1,-
42,Sa 11 Sep,Leicester City,0 - 1,Manchester City,stats,(0-0),-,1,-
43,Sa 11 Sep,Manchester Utd,4 - 1,Newcastle Utd,stats,(1-0),+,5,+
44,Sa 11 Sep,Southampton,0 - 0,West Ham Utd,stats,(0-0),-,0,-
45,Sa 11 Sep,Watford,0 - 2,Wolverhampton,stats,(0-0),-,2,-
46,Sa 11 Sep,Chelsea,3 - 0,Aston Villa,stats,(1-0),+,3,-
47,,,,,,,,,
48,Su 12 Sep,Leeds Utd,0 - 3,Liverpool,stats,(0-1),+,3,-
49,,,,,,,,,
50,Mo 13 Sep,Everton,3 - 1,Burnley,stats,(0-0),+,4,+
51,,,,,,,,,
52,Fr 17 Sep,Newcastle Utd,1 - 1,Leeds Utd,stats,(1-1),-,2,+
53,,,,,,,,,
54,Sa 18 Sep,Wolverhampton,0 - 2,Brentford,stats,(0-2),-,2,-
55,Sa 18 Sep,Burnley,0 - 1,Arsenal,stats,(0-1),-,1,-
56,Sa 18 Sep,Liverpool,3 - 0,Crystal Palace,stats,(1-0),+,3,-
57,Sa 18 Sep,Manchester City,0 - 0,Southampton,stats,(0-0),-,0,-
58,Sa 18 Sep,Norwich City,1 - 3,Watford,stats,(1-1),+,4,+
59,Sa 18 Sep,Aston Villa,3 - 0,Everton,stats,(0-0),+,3,-
60,,,,,,,,,
61,Su 19 Sep,Brighton,2 - 1,Leicester City,stats,(1-0),+,3,+
62,Su 19 Sep,West Ham Utd,1 - 2,Manchester Utd,stats,(1-1),+,3,+
63,Su 19 Sep,Tottenham,0 - 3,Chelsea,stats,(0-0),+,3,-
64,,,,,,,,,
65,Sa 25 Sep,Chelsea,0 - 1,Manchester City,stats,(0-0),-,1,-
66,Sa 25 Sep,Manchester Utd,0 - 1,Aston Villa,stats,(0-0),-,1,-
67,Sa 25 Sep,Everton,2 - 0,Norwich City,stats,(1-0),-,2,-
68,Sa 25 Sep,Leeds Utd,1 - 2,West Ham Utd,stats,(1-0),+,3,+
69,Sa 25 Sep,Leicester City,2 - 2,Burnley,stats,(1-2),+,4,+
70,Sa 25 Sep,Watford,1 - 1,Newcastle Utd,stats,(0-1),-,2,+
71,Sa 25 Sep,Brentford,3 - 3,Liverpool,stats,(1-1),+,6,+
72,,,,,,,,,
73,Su 26 Sep,Southampton,0 - 1,Wolverhampton,stats,(0-0),-,1,-
74,Su 26 Sep,Arsenal,3 - 1,Tottenham,stats,(3-0),+,4,+
75,,,,,,,,,
76,Mo 27 Sep,Crystal Palace,1 - 1,Brighton,stats,(1-0),-,2,+
77,,,,,,,,,
78,Sa 2 Oct,Manchester Utd,1 - 1,Everton,stats,(1-0),-,2,+
79,Sa 2 Oct,Burnley,0 - 0,Norwich City,stats,(0-0),-,0,-
80,Sa 2 Oct,Chelsea,3 - 1,Southampton,stats,(1-0),+,4,+
81,Sa 2 Oct,Leeds Utd,1 - 0,Watford,stats,(1-0),-,1,-
82,Sa 2 Oct,Wolverhampton,2 - 1,Newcastle Utd,stats,(1-1),+,3,+
83,Sa 2 Oct,Brighton,0 - 0,Arsenal,stats,(0-0),-,0,-
84,,,,,,,,,
85,Su 3 Oct,Crystal Palace,2 - 2,Leicester City,stats,(0-2),+,4,+
86,Su 3 Oct,Tottenham,2 - 1,Aston Villa,stats,(1-0),+,3,+
87,Su 3 Oct,West Ham Utd,1 - 2,Brentford,stats,(0-1),+,3,+
88,Su 3 Oct,Liverpool,2 - 2,Manchester City,stats,(0-0),+,4,+
89,,,,,,,,,
90,Sa 16 Oct,Watford,0 - 5,Liverpool,stats,(0-2),+,5,-
91,Sa 16 Oct,Aston Villa,2 - 3,Wolverhampton,stats,(0-0),+,5,+
