,No,Name,GP,W,D,L,GF,GA,GD,Pts
0,1,Tottenham,8,4,3,1,18,12,+6,15
1,2,Manchester City,7,4,1,2,16,9,+7,13
2,3,Arsenal,6,4,1,1,9,3,+6,13
3,4,Everton,7,4,1,2,10,11,-1,13
4,5,Manchester Utd,7,4,0,3,8,7,+1,12
5,6,Crystal Palace,8,3,2,3,8,11,-3,11
6,7,Aston Villa,8,3,2,3,10,15,-5,11
7,8,Chelsea,6,3,1,2,12,9,+3,10
8,9,Liverpool,7,2,4,1,11,9,+2,10
9,10,Brighton,7,3,1,3,15,16,-1,10
10,11,West Ham Utd,7,3,1,3,12,14,-2,10
11,12,Brentford,6,2,1,3,7,7,0,7
12,13,Wolverhampton,8,2,1,5,10,13,-3,7
13,14,Fulham,8,1,3,4,9,17,-8,6
14,15,Newcastle Utd,6,1,2,3,13,10,+3,5
15,16,Nottm Forest,7,1,1,5,6,13,-7,4
16,17,Burnley,6,1,1,4,5,12,-7,4
17,18,Bournemouth,6,1,1,4,8,18,-10,4
18,19,Luton Town,8,1,1,6,7,18,-11,4
19,20,Sheffield Utd,7,0,1,6,4,20,-16,1
