,date,home_team,score,away_team,stats,half_time,2.5+,total_goals,btts
0,,,,,,,,,
1,Fr 11 Aug,Burnley,0 - 3,Manchester City,stats,(0-2),+,3,-
2,,,,,,,,,
3,Sa 12 Aug,Arsenal,2 - 1,Nottm Forest,stats,(2-0),+,3,+
4,Sa 12 Aug,Bournemouth,1 - 1,West Ham Utd,stats,(0-0),-,2,+
5,Sa 12 Aug,Brighton,4 - 1,Luton Town,stats,(1-0),+,5,+
6,Sa 12 Aug,Everton,0 - 1,Fulham,stats,(0-0),-,1,-
7,Sa 12 Aug,Sheffield Utd,0 - 1,Crystal Palace,stats,(0-0),-,1,-
8,Sa 12 Aug,Newcastle Utd,5 - 1,Aston Villa,stats,(2-1),+,6,+
9,,,,,,,,,
10,Su 13 Aug,Brentford,2 - 2,Tottenham,stats,(2-2),+,4,+
11,Su 13 Aug,Chelsea,1 - 1,Liverpool,stats,(1-1),-,2,+
12,,,,,,,,,
13,Mo 14 Aug,Manchester Utd,1 - 0,Wolverhampton,stats,(0-0),-,1,-
14,,,,,,,,,
15,Fr 18 Aug,Nottm Forest,2 - 1,Sheffield Utd,stats,(1-0),+,3,+
16,,,,,,,,,
17,Sa 19 Aug,Fulham,0 - 3,Brentford,stats,(0-1),+,3,-
18,Sa 19 Aug,Liverpool,3 - 1,Bournemouth,stats,(2-1),+,4,+
19,Sa 19 Aug,Wolverhampton,1 - 4,Brighton,stats,(0-1),+,5,+
20,Sa 19 Aug,Tottenham,2 - 0,Manchester Utd,stats,(0-0),-,2,-
21,Sa 19 Aug,Manchester City,1 - 0,Newcastle Utd,stats,(1-0),-,1,-
22,,,,,,,,,
23,Su 20 Aug,Aston Villa,4 - 0,Everton,stats,(2-0),+,4,-
24,Su 20 Aug,West Ham Utd,3 - 1,Chelsea,stats,(1-1),+,4,+
25,,,,,,,,,
26,Mo 21 Aug,Crystal Palace,0 - 1,Arsenal,stats,(0-0),-,1,-
27,,,,,,,,,
28,Fr 25 Aug,Chelsea,3 - 0,Luton Town,stats,(1-0),+,3,-
29,,,,,,,,,
30,Sa 26 Aug,Bournemouth,0 - 2,Tottenham,stats,(0-1),-,2,-
31,Sa 26 Aug,Arsenal,2 - 2,Fulham,stats,(0-1),+,4,+
32,Sa 26 Aug,Brentford,1 - 1,Crystal Palace,stats,(1-0),-,2,+
33,Sa 26 Aug,Everton,0 - 1,Wolverhampton,stats,(0-0),-,1,-
34,Sa 26 Aug,Manchester Utd,3 - 2,Nottm Forest,stats,(1-2),+,5,+
35,Sa 26 Aug,Brighton,1 - 3,West Ham Utd,stats,(0-1),+,4,+
36,,,,,,,,,
37,Su 27 Aug,Burnley,1 - 3,Aston Villa,stats,(0-2),+,4,+
38,Su 27 Aug,Sheffield Utd,1 - 2,Manchester City,stats,(0-0),+,3,+
39,Su 27 Aug,Newcastle Utd,1 - 2,Liverpool,stats,(1-0),+,3,+
40,,,,,,,,,
41,Fr 1 Sep,Luton Town,1 - 2,West Ham Utd,stats,(0-1),+,3,+
42,,,,,,,,,
43,Sa 2 Sep,Sheffield Utd,2 - 2,Everton,stats,(2-1),+,4,+
44,Sa 2 Sep,Brentford,2 - 2,Bournemouth,stats,(1-1),+,4,+
45,Sa 2 Sep,Burnley,2 - 5,Tottenham,stats,(1-2),+,7,+
46,Sa 2 Sep,Chelsea,0 - 1,Nottm Forest,stats,(0-0),-,1,-
47,Sa 2 Sep,Manchester City,5 - 1,Fulham,stats,(2-1),+,6,+
48,Sa 2 Sep,Brighton,3 - 1,Newcastle Utd,stats,(1-0),+,4,+
49,,,,,,,,,
50,Su 3 Sep,Crystal Palace,3 - 2,Wolverhampton,stats,(0-0),+,5,+
51,Su 3 Sep,Liverpool,3 - 0,Aston Villa,stats,(2-0),+,3,-
52,Su 3 Sep,Arsenal,3 - 1,Manchester Utd,stats,(1-1),+,4,+
53,,,,,,,,,
54,Sa 16 Sep,Wolverhampton,1 - 3,Liverpool,stats,(1-0),+,4,+
55,Sa 16 Sep,Aston Villa,3 - 1,Crystal Palace,stats,(0-0),+,4,+
56,Sa 16 Sep,Fulham,1 - 0,Luton Town,stats,(0-0),-,1,-
57,Sa 16 Sep,Manchester Utd,1 - 3,Brighton,stats,(0-1),+,4,+
58,Sa 16 Sep,Tottenham,2 - 1,Sheffield Utd,stats,(0-0),+,3,+
59,Sa 16 Sep,West Ham Utd,1 - 3,Manchester City,stats,(1-0),+,4,+
60,Sa 16 Sep,Newcastle Utd,1 - 0,Brentford,stats,(0-0),-,1,-
61,,,,,,,,,
62,Su 17 Sep,Bournemouth,0 - 0,Chelsea,stats,(0-0),-,0,-
63,Su 17 Sep,Everton,0 - 1,Arsenal,stats,(0-0),-,1,-
64,,,,,,,,,
65,Mo 18 Sep,Nottm Forest,1 - 1,Burnley,stats,(0-1),-,2,+
66,,,,,,,,,
67,Sa 23 Sep,Crystal Palace,0 - 0,Fulham,stats,(0-0),-,0,-
68,Sa 23 Sep,Luton Town,1 - 1,Wolverhampton,stats,(0-0),-,2,+
69,Sa 23 Sep,Manchester City,2 - 0,Nottm Forest,stats,(2-0),-,2,-
70,Sa 23 Sep,Brentford,1 - 3,Everton,stats,(1-1),+,4,+
