,No,Name,GP,W,D,L,GF,GA,GD,Pts
0,1,Liverpool,19,15,4,0,49,9,+40,49
1,2,Manchester City,19,15,2,2,58,15,+43,47
2,3,Arsenal,19,13,2,4,35,17,+18,41
3,4,Tottenham,19,13,1,5,38,19,+19,40
4,5,Manchester Utd,19,10,5,4,32,22,+10,35
5,6,Chelsea,19,9,7,3,37,22,+15,34
6,7,Leicester City,19,10,4,5,34,23,+11,34
7,8,West Ham Utd,19,9,5,5,33,26,+7,32
8,9,Newcastle Utd,19,8,6,5,26,27,-1,30
9,10,Crystal Palace,19,7,8,4,27,17,+10,29
10,11,Everton,19,9,2,8,27,25,+2,29
11,12,Southampton,19,6,7,6,23,24,-1,25
12,13,Brentford,19,7,3,9,22,21,+1,24
13,14,Wolverhampton,19,7,3,9,20,25,-5,24
14,15,Aston Villa,19,6,5,8,29,29,0,23
15,16,Brighton,19,5,7,7,19,23,-4,22
16,17,Burnley,19,5,6,8,18,25,-7,21
17,18,Leeds Utd,19,4,6,9,19,38,-19,18
18,19,Norwich City,19,3,3,13,12,43,-31,12
19,20,Watford,19,2,2,15,17,46,-29,8
