,No,Name,GP,W,D,L,GF,GA,GD,Pts
0,1,Liverpool,7,7,0,0,21,5,+16,21
1,2,Newcastle Utd,8,7,0,1,19,4,+15,21
2,3,Arsenal,8,6,2,0,20,8,+12,20
3,4,Aston Villa,6,6,0,0,23,5,+18,18
4,5,Manchester City,7,5,2,0,20,7,+13,17
5,6,Brighton,7,3,3,1,15,10,+5,12
6,7,Brentford,8,3,3,2,15,12,+3,12
7,8,Tottenham,6,4,0,2,10,8,+2,12
8,9,Manchester Utd,7,4,0,3,8,10,-2,12
9,10,West Ham Utd,7,3,2,2,12,10,+2,11
10,11,Nottm Forest,7,2,3,2,10,9,+1,9
11,12,Chelsea,8,2,3,3,13,13,0,9
12,13,Fulham,6,3,0,3,7,9,-2,9
13,14,Bournemouth,8,2,3,3,8,12,-4,9
14,15,Wolverhampton,6,2,2,2,9,12,-3,8
15,16,Crystal Palace,6,1,2,3,6,8,-2,5
16,17,Luton Town,6,1,2,3,6,8,-2,5
17,18,Everton,7,1,1,5,5,9,-4,4
18,19,Sheffield Utd,7,1,1,5,7,19,-12,4
19,20,Burnley,8,1,0,7,10,20,-10,3
